이름,영문 이름,defName,출처 모드,packageId,건축 탭,크기,칸 수,통행,전력,중력선,특징,연구,건설 비용,체력,작업량,아름다움,지형 조건,포장 가능,설명,제작 레시피 수,대표 제작품,실제 적용값(모드 설정)
대형 화학연료 탱크,large chemfuel tank,LargeChemfuelTank,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,3x3,9,통과만,,중력선 부품[FuelStorage] 연료 공급 엔진 거리≤500 최대 9999개,연료 Chemfuel 750,standard gravtech,Steel 200,300,3000,-10,Substructure,,중력부양선의 추진기에 연료를 공급하는 대형 화학연료 저장 탱크입니다.,,,[Bigger Gravships] 연료 50000
산소 펌프,oxygen pump,OxygenPump,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,1x1,1,가능,-150 W,산소 공급 0.01/초/100칸,,orbital tech,"Steel 100, ComponentIndustrial 2",80,2000,,,예,"벽에 설치하는 소형 장치로, 주변 방에 산소를 공급하여 밀폐된 구역이 우주 공간에서도 재가압될 수 있게 해줍니다. 궤도에서 장기간 체류하는 데 필수적입니다.",,,
소형 추진기,small thruster,SmallThruster,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,1x2,2,불가,,"추진기 GravshipRange 10, 뒤 금지구역 (1, 0, 5)",설치조건: GravshipThruster,basic gravtech,"Steel 180, ComponentIndustrial 4",250,10000,-10,Substructure,예,중력부양선의 비행 거리를 늘려주는 화학연료 추진기입니다. 추진기 설치에는 큰 건물이나 중력부양선 하부구조가 없는 빈 공간이 필요합니다.\n\n중력부양선에는 최대 4개의 소형 추진기를 설치할 수 있습니다.,,,"[Bigger Gravships] 항속 100, 최대 100개"
소형 화학연료 탱크,small chemfuel tank,ChemfuelTank,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,2x2,4,통과만,,중력선 부품[FuelStorage] 연료 공급 엔진 거리≤500 최대 9999개,연료 Chemfuel 250,basic gravtech,Steel 120,200,2000,-10,Substructure,,중력부양선의 추진기에 연료를 공급하는 화학연료 저장 탱크입니다.,,,[Bigger Gravships] 연료 20000
신호 교란기,signal jammer,SignalJammer,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,2x2,4,통과만,,중력선 부품[SignalJammer] 엔진 거리≤500 최대 1개,,advanced gravtech,"Gravcore 1, Steel 200, GravlitePanel 80, ComponentSpacer 4",400,30000,-10,Substructure,예,"중력부양선의 전자기 신호를 위장해, 방어가 삼엄한 착륙 지점에 접근할 수 있게 해주는 신호 방출기입니다.",,,
여객 왕복선,passenger shuttle,PassengerShuttle,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,3x5,15,통과만,,,"연료 Chemfuel 400 / 작업칸 (2, 0, 0) / 설치조건: NotUnderRoof",shuttle,"Steel 250, Plasteel 150, ComponentIndustrial 6, ShuttleEngine 1",600,36000,,Light,,장거리 여행용으로 설계된 화학연료 동력 왕복선입니다. 궤도상 위치까지 도달할 수 있습니다.,,,
조종석 콘솔,pilot console,PilotConsole,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,3x2,6,통과만,,중력선 부품[Controls] 엔진 거리≤200 최대 1개,"작업칸 (0, 0,-1)",basic gravtech,"Steel 140, ComponentIndustrial 3",150,2500,0,Substructure,예,중력부양선의 발사 및 조종을 담당하는 인터페이스입니다. 중력구동기에서 직접 전력을 공급받습니다.,,,
중력닻,grav anchor,GravAnchor,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,4x4,16,통과만,,,설치조건: InvalidOverSubstructure,basic gravtech,"Plasteel 300, GravlitePanel 80, ComponentSpacer 5",500,38000,-10,Heavy,,중력부양선 발사 시 지역이 파괴되는 걸 방지합니다.\n\n중력닻은 주위 넓은 영역의 중력 전단 현상을 완화하여 중력부양선 발사 시의 파괴적인 피해를 방지합니다. 중력부양선에 설치하면 이륙을 막아버릴 것이므로 하부구조 위에 건설할 수 없습니다.,,,
중력부양선 외벽,gravship hull,GravshipHull,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,1x1,1,불가,,,,basic gravtech,재질(Metallic) 7,420,300,,Substructure,,우주 진공에서 산소 유출을 방지하는 강력한 밀폐 벽입니다. 이 벽은 하부구조와 직접 연결되므로 중력부양선에만 건설할 수 있습니다.,,,
중력장 확장기,grav field extender,GravFieldExtender,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,1x1,1,통과만,,하부구조 반경 16.9 / 중력선 부품 SubstructureSupport 250 엔진 거리≤18.9 최대 6개,조명 반경 2 / 설치조건: InRangeOfGravEngine,basic gravtech,"Gravcore 1, GravlitePanel 35, ComponentIndustrial 2, Steel 80",200,1500,-10,Substructure,예,"중력부양선의 크기를 확장할 때 필요한 초기술 장치입니다. 하부구조를 건설할 수 있는 영역을 넓혀주며, 중력부양선이 지탱할 수 있는 하부구조의 총량도 증가시켜줍니다. 반드시 중력구동기 근처에 설치해야 합니다.\n\n중력부양선에는 최대 6개의 중력장 확장기를 설치할 수 있습니다.",,,"[Bigger Gravships] 1개당 지지 5000칸, 최대 100개, 엔진 거리 100, 반경 100"
진공 장벽,vac barrier,VacBarrier,Odyssey DLC,ludeon.rimworld.odyssey,중력부양선,1x1,1,가능,-50 W,,,orbital tech,"Steel 40, ComponentIndustrial 2, GravlitePanel 2",100,2000,,Heavy,,"우주 공간에서 감압을 방지하는 초음파 장벽입니다. 장벽이 경계면 근처의 공기 분자를 압축하여 기체가 빠져나가는 것을 막으면서도, 사람은 자유롭게 통과할 수 있게 합니다. 진공 장벽은 침입자를 막는 데에는 효과가 없습니다.\n\n감압을 방지하려면 전력이 공급되어야 합니다.",,,
식물 유전학 작업대,potting bench,PottingBench,Plant genetics(Continued),adamas.plantgenetics.continued,생산,3x1,3,통과만,,,"작업칸 (0,0,-1)",plant breeding,"재질(Metallic/Woody) 75, WoodLog 20",180,2000,,Light,예,식물 유전자 개량에 필요한 작업대입니다.,,,
LWPN 송신기,LWPN emitter,ARKPPP_LocalWirelessPowerEmitter,Power++,arandomkiwi.powerpp,전력,6x6,36,불가,-3200 W,,,"electricity, Local Wireless power networks (LWPN)","Steel 1000, Silver 550, Plasteel 350, Gold 100, ComponentIndustrial 24, ComponentSpacer 6",800,5200,,Heavy,,전선 없이 모든 전자 장치를 연결할 수 있는 로컬(현재 지도상의) 무선 전력망(LWPN)을 구축하는데 사용하는 장치입니다.,,,
WPN 송신기,WPN emitter,ARKPPP_WirelessPowerEmitter,Power++,arandomkiwi.powerpp,전력,6x6,36,불가,-3000 W,,,"electricity, Long range wireless power networks (WPN)","Steel 550, Silver 350, Plasteel 75, Gold 50, ComponentIndustrial 18, ComponentSpacer 1",800,4200,,Heavy,,"장거리 WPN을 송신하는데 사용되는 무선 송신 장치입니다. 이 장치는 기상조건(천둥, 번개)에 민감합니다.",,,
WPN 수신기,WPN receiver,ARKPPP_WirelessPowerReceptor,Power++,arandomkiwi.powerpp,전력,4x4,16,가능,+0 W 발전,,,"electricity, Long range wireless power networks (WPN)","Steel 500, Plasteel 125, Gold 35, ComponentIndustrial 12, ComponentSpacer 2",450,3300,-8,Heavy,,무선 전력 수신기입니다. 전원을 공급하려면 유효한 WPN 에 연결되어 있어야 합니다.,,,
고급 WPN 송신기,Advanced WPN emitter,ARKPPP_WirelessPowerEmitterAdvanced,Power++,arandomkiwi.powerpp,전력,6x6,36,불가,-600 W,,,"electricity, Advanced WPN emitter","Steel 850, Silver 1200, Plasteel 250, Gold 150, ComponentIndustrial 24, ComponentSpacer 3",1000,5200,,Heavy,,장거리 WPN을 송신하는데 사용되는 무선 송신 장치입니다.,,,
위성 조준 시스템 (STS),Satellite Targeting System,ARKPPP_PowerBeamSatelliteTargetingSystem,Power++,arandomkiwi.powerpp,전력,6x6,36,불가,-850 W,,열 24/초 / 조명 반경 8,"electricity, Satelitte target system","Steel 650, Plasteel 350, Gold 100, ComponentIndustrial 36, ComponentSpacer 4",1200,5200,,Heavy,,고대 위성 중 하나를 해킹하고 제어하는데 사용되는 슈퍼 컴퓨터입니다. 지속적으로 냉각되어야 하는 것 외에도 위성과의 갑작스러운 비동기화가 발생해서는 안 됩니다. 왜냐하면 위성에 매우 심각한 영향을 미칠 수 있기 때문입니다. 따라서 시작 및 중지 순서는 항상 지켜져야 합니다.,,,
휴대용 LWPN 송신기,Portale LWPN emitter,ARKPPP_LocalWirelessPortablePowerEmitter,Power++,arandomkiwi.powerpp,전력,2x2,4,불가,-450 W,,,"electricity, Portable LWPN emitter","Steel 350, Plasteel 60, Gold 50, ComponentIndustrial 16, ComponentSpacer 2",500,3800,,Heavy,예,전선 없이 모든 전자 장치를 연결할 수 있는 로컬(현재 지도상의) 무선 전력망(LWPN)을 구축하는데 사용하는 장치입니다. 크기가 작기 때문에 처리할 수 있는 무선 장치의 갯수가 제한됩니다.,,,
휴대용 WPN 수신기,Portable WPN receiver,ARKPPP_WirelessPortablePowerReceptor,Power++,arandomkiwi.powerpp,전력,2x2,4,가능,+0 W 발전,,,"electricity, Portable WPN receiver","Steel 250, Plasteel 35, Gold 15, ComponentIndustrial 8, ComponentSpacer 1",250,2200,-8,Medium,예,휴대용 무선 전력 수신기입니다. 전원을 공급하려면 유효한 WPN 에 연결되어 있어야 합니다. 크기가 작기 때문에 최대 3000 W 로 제한됩니다.,,,
흡수 위성 (AD),Absorption Dish,ARKPPP_PowerBeamAbsorptionDish,Power++,arandomkiwi.powerpp,전력,24x24,576,불가,+500 W 발전,,설치조건: NotUnderRoof,"electricity, Absorption dish","Steel 2400, Plasteel 350, Gold 150, ComponentIndustrial 24, ComponentSpacer 6",2400,82000,,Heavy,,고대 위성 네트워크에서 전력을 송신받는 거대한 흡수 위성(AD)입니다.,,,
흡수 위성(AD) 릴레이 탑,AD relay tower,ARKPPP_ADRelayTower,Power++,arandomkiwi.powerpp,전력,3x5,15,불가,-450 W,,조명 반경 6,"electricity, Remote absorption dish","Steel 140, ComponentIndustrial 4, ComponentSpacer 1",320,3200,,Heavy,,위성 안테나를 통해서 하나 이상의 흡수 위성(AD)을 위성 조준 시스템(STS)에 원격으로 연결하는데 사용되는 라디오 안테나입니다.,,,
퓨즈,makeshift fuse,Building_RTMakeshiftFuse,RT Fuse,ratys.rtfuse,전력,1x1,1,통과만,전선/송전,,,basic fuses,"Steel 20, ComponentIndustrial 1",100,500,-15,Light,예,간단한 퓨즈입니다. 최대 1800 Wd의 방전을 제거하며 작동 후 수리가 필요합니다.,,,
회로 차단기,circuit breaker,Building_RTCircuitBreaker,RT Fuse,ratys.rtfuse,전력,1x2,2,통과만,전선/송전,,,circuit breakers,"Steel 50, Plasteel 4, ComponentIndustrial 1",100,1000,-10,Light,예,자동으로 회로를 차단하는 장치들입니다. 최대 1800 Wd의 방전을 제거하며 작동 후 수동으로 재활성화하여야 합니다.,,,
자기 보호막 발생기,magnetic shield,Building_RTMagneticShield,RT Solar Flare Shield,ratys.rtsolarflareshield,전력,2x2,4,통과만,-50 W,,,solar flare shielding,"Steel 100, ComponentIndustrial 10, Plasteel 50",200,5000,-10,Light,예,흑점 폭발이 발생하면 자동으로 작동하여 정착지 전체를 태양 플레어로부터 보호합니다. 작동 시 엄청난 전력을 소모하며 상당한 발열이 발생합니다.,,,
강화 유리 자동문,reinforced glass autodoor,RB_ReinforcedGlassAutodoor,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,가능,-50 W,,,"autodoor, fabrication","재질(Metallic/Woody/Stony/Metallic/Woody/Stony) 25, RB_BallisticGlass 5, ComponentIndustrial 2",160,1100,,Light,,방을 나눕니다. 전기로 작동하며 문 통과시 이동속도 감소가 적거나 없습니다.,,,
강화 유리벽,reinforced glass wall,RB_ReinforcedGlassWall,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,불가,,,,fabrication,"재질(Metallic/Stony) 1, RB_BallisticGlass 4",300,185,,Heavy,,지나갈 수 없는 강화 유리벽입니다. 지붕을 지지할 수 있습니다. 빛을 차단하지 않아 실내에서도 식물을 키울 수 있습니다. 정착민의 외출 욕구를 천천히 채워줍니다.,,,
강화 유리창 벽,reinforced clerestory wall,RB_ReinforcedClerestoryWall,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,불가,,,,fabrication,"재질(Metallic/Woody/Stony) 3, RB_BallisticGlass 2",300,175,,Heavy,,지나갈 수 없는 강화 유리창 벽입니다. 지붕을 지지할 수 있습니다. 빛을 차단하지 않아 실내에서도 식물을 키울 수 있습니다. 정착민의 외출 욕구를 천천히 채워줍니다.,,,
격벽 문,cell door,RB_CellDoor,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,가능,,,,smithing,재질(Metallic) 25,80,850,,Light,,방을 나눕니다. 열고 닫히는 속도가 느립니다.,,,
금속 격벽,cell wall,RB_CellWall,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,불가,,,,smithing,재질(Metallic/Woody) 5,250,135,,Light,,쇠창살로 이루어진 지나갈 수 없는 벽입니다.,,,
대형 보안 문,large security door,RB_LargeSecurityDoor,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,3x1,3,가능,-50 W,,,security door,"Plasteel 75, ComponentIndustrial 3",1200,8000,,Heavy,,"튼튼하게 강화된 문입니다. 느리게 열리며 전기가 필요하지만, 매우 강합니다. 뭔가 위험한 것의 출입을 통제하고 싶다면 좋은 선택일 것입니다. 문이 기능하려면 양쪽에 벽이 필요합니다.",,,
대형 화려한 문,large ornate door,RB_LargeOrnateDoor,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,3x1,3,가능,,,,"complex furniture, artisan furniture","재질(Metallic/Woody/Stony) 100, Gold 75",350,18000,35,Light,,방을 나눕니다. 복잡한 문양과 금으로 장식되어있습니다. 이 거대하고 무거운 문은 이를 지지해주는 벽이 있어야 제대로 사용할 수 있습니다.,,,
벽 보호구,wall armor,RB_OverwallArmor,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,가능,,,설치조건: OnWall,fabrication,"재질(Metallic) 15, Steel 10",750,350,,Heavy,,벽을 강화하는 보호구입니다. 구조적으로 기존 벽과 완벽하게 통합되며 외부 위협에 대한 보호 기능을 강화합니다. 파괴될 때까지 설치된 벽을 손상으로부터 보호합니다. 벽에 설치해야 합니다.,,,
소박한 벽,rustic wall,RB_RusticWall,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,불가,,,,,재질(Metallic/Woody/Stony) 3,200,75,,Heavy,,지나갈 수 없는 벽입니다. 단순하고 약해 보입니다. 지붕을 지지할 수 있습니다.,,,
수중 장벽,barriers wall,RB_BarriersWall,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,불가,,,,smithing,재질(Metallic/Woody) 5,200,350,,RB_AnyWater,,"쇠창살로 이루어진 지나갈 수 없는 벽으로, 물의 흐름을 막지 않습니다. 물 속에 건설해야 합니다.",,,
유리 자동문,glass autodoor,RB_GlassAutodoor,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,가능,-50 W,,,"autodoor, electricity","재질(Metallic/Woody/Stony/Metallic/Woody/Stony) 25, RB_Glass 5, ComponentIndustrial 2",80,900,,Light,,방을 나눕니다. 전기로 작동하며 문 통과시 이동속도 감소가 적거나 없습니다. 빛을 차단하지 않습니다.,,,
유리벽,glass wall,RB_GlassWall,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,불가,,,,electricity,"재질(Metallic/Stony) 1, RB_Glass 4",200,135,,Heavy,,지나갈 수 없는 유리벽입니다. 지붕을 지지할 수 있지만 튼튼하진 못합니다. 빛을 차단하지 않아 실내에서도 식물을 키울 수 있습니다. 정착민의 외출 욕구를 천천히 채워줍니다.,,,
유리창 벽,clerestory wall,RB_ClerestoryWall,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,불가,,,,electricity,"재질(Metallic/Woody/Stony) 3, RB_Glass 2",200,135,,Heavy,,지나갈 수 없는 유리창 벽입니다. 지붕을 지지할 수 있지만 튼튼하진 못합니다. 빛을 차단하지 않아 실내에서도 식물을 키울 수 있습니다. 정착민의 외출 욕구를 천천히 채워줍니다.,,,
이중 자동문,double autodoor,RB_DoubleAutodoor,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,2x1,2,가능,-50 W,,,autodoor,"재질(Metallic/Woody/Stony) 50, Steel 80, ComponentIndustrial 4",160,2200,,Light,,방을 나눕니다. 전기로 작동하며 문 통과시 이동속도 감소가 적거나 없습니다.,,,
이중문,double door,RB_DoubleDoor,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,2x1,2,가능,,,,,재질(Metallic/Woody/Stony) 50,160,1700,,Light,,방을 나눕니다. 수동으로 열고 닫으며 문 통과시 이동속도가 느려집니다.,,,
화려한 벽,ornate wall,RB_OrnateWall,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,구조물,1x1,1,불가,,,,artisan furniture,"재질(Metallic/Woody/Stony) 12, Gold 2",300,325,4,Heavy,,지나갈 수 없는 벽입니다. 복잡한 문양과 금으로 장식되어있습니다. 지붕을 지지할 수 있지만 튼튼하진 못합니다. 권위 유형의 초능력자는 근처에서 집중 명상을 할 때 명상 보너스를 얻습니다.,,,
바닥등,floor lamp,RB_FloorLamp,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,바닥,1x1,1,가능,-20 W,,조명 반경 8,electricity,"재질(Metallic) 15, Steel 5",25,350,,,,전기를 사용하여 공간을 밝히는 바닥 설치형 전등입니다. 일반 전등보다 덜 강력하지만 어떤 바닥에도 설치할 수 있습니다.,,,
벽걸이 벽난로,wall-mounted fireplace,RB_OverwallFireplace,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,온도,2x1,2,통과만,,,연료 WoodLog 40.0 / 열 15/초 / 설치조건: OnWall,stonecutting,재질(Stony) 25,120,400,8,,,벽걸이형 석재 벽난로입니다. 다른 열원들과 마찬가지로 방을 덥히기 위해선 밀폐된 공간에 배치되어야 합니다. 나무를 채워넣을 수 있습니다.,,,
벽난로,fireplace,RB_Fireplace,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,온도,3x2,6,통과만,,,연료 WoodLog 40.0 / 열 15/초 / 설치조건: Heater,stonecutting,재질(Stony) 65,200,800,8,,,석재 벽난로입니다. 다른 열원들과 마찬가지로 방을 덥히기 위해선 밀폐된 공간에 배치되어야 합니다. 나무를 채워넣을 수 있습니다.,,,
중력부양선 외벽,gravship hull,RB_SmoothGravshipHull,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,중력부양선,1x1,1,불가,,,설치조건: OnSubstructure,standard gravtech,재질(Metallic) 4,340,280,,Heavy,,"우주 진공에서 산소 유출을 방지하는 밀폐 벽으로, 일반 외벽보다 내구성이 다소 떨어집니다. 이 벽은 하부구조와 직접 연결되므로 중력부양선에만 건설할 수 있습니다.",,,
중력부양선 유리 외벽,gravship glasshull,RB_GravshipWindowHull,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,중력부양선,1x1,1,불가,,,설치조건: OnSubstructure,"standard gravtech, electricity","재질(Metallic) 3, RB_Glass 3",420,300,,Heavy,,"압력에 강한 관측창이 박혀 있는 밀폐 벽입니다. 안전한 별 관측을 위해 설계되었으며, 중력부양선의 구조 프레임워크에 직접 연결됩니다. 중력부양선에만 건설할 수 있습니다.",,,
중력부양선 전경 외벽,gravship panorama hull,RB_GravshipPanoramaHull,ReBuild: Doors and Corners,rebuild.cotr.doorsandcorners,중력부양선,1x1,1,불가,,,설치조건: OnSubstructure,"advanced gravtech, electricity","재질(Metallic) 2, RB_Glass 6",420,300,,Heavy,,너머로 탁 트인 우주 경치를 감상할 수 있는 거대한 유리 외벽입니다. 중력부양선의 하부 구조에 연결되는 이 밀폐 벽은 뛰어난 구조적 안정성을 가지면서도 높은 빛 투과율을 자랑합니다. 중력부양선에만 건설할 수 있습니다.,,,
소형 보호막 발생기,small shield generator,ASG_SmallWallShieldGenerator,Reflection Shield Generator,aruminon.reflectionshieldgenerator,방어,1x1,1,가능,-1000 W,,보호막 반경 5,defensive shield technology,"ComponentSpacer 5, ComponentIndustrial 15, Plasteel 100, Steel 300",300,3200,-1,,예,"A compact wall-mounted shield generator developed by Urbanworld engineers for local defense. Because it was created using immature shield technology, its performance is somewhat limited. Even so, it serves as an extremel",,,
중형 강화 벽,heavy reinforced wall,HeavyReinforcedWall,Reinforced Walls (Continued),crewd.reinforcedwallscontinued,구조물,1x1,1,불가,,,,reinforced walls,"재질(Metallic/Woody/Stony) 15, Steel 5",900,405,,Heavy,,모든 형태의 피해와 직접적인 폭발을 견딜 수 있도록 강화된 더 강한 통과 불가능한 벽입니다. 지붕을 지탱할 수 있습니다.,,,
중형 강화 총안구 벽,heavy reinforced embrasure,HeavyReinforcedEmbrasure,Reinforced Walls (Continued),crewd.reinforcedwallscontinued,구조물,1x1,1,불가,,,,reinforced walls,"재질(Metallic/Woody/Stony) 15, Steel 5",900,405,,Heavy,,모든 형태의 피해와 직접적인 폭발을 견딜 수 있도록 강화되고 전술적 사격이 가능한 구멍이 있는 더 강한 통과 불가능한 벽입니다. 지붕을 지탱할 수 있습니다.,,,
레플리매트 단말기,Replimat Terminal,ReplimatTerminal,Replimat,sumghai.replimat,레플리매트,1x1,1,통과만,-2000 W,,"작업칸 (0,0,-1)",Molecular Nutrient Resequencing,"Steel 50, ComponentSpacer 5, Plasteel 20",200,15000,5,Light,예,분자 재구성으로 식사와 음료를 합성합니다. 레플리매트 원료 탱크 및 레플리매트 컴퓨터에 전력선으로 연결해야 합니다.,,,
레플리매트 대형 원료 탱크,Replimat Large Feedstock Tank,ReplimatFeedTankLarge,Replimat,sumghai.replimat,레플리매트,2x2,4,통과만,-1000 W,,,Molecular Nutrient Resequencing,"Steel 50, ComponentIndustrial 10, ComponentSpacer 2, Plasteel 150",200,10000,-3,Light,예,레플리매트 터미널에서 사용하는 유기 미립자 현탁액을 담는 표준 원료 탱크의 대형 버전입니다. 레플리매트 호퍼로 공급합니다.,,,
레플리매트 동물 급양기,Replimat Animal Feeder,ReplimatAnimalFeeder,Replimat,sumghai.replimat,레플리매트,1x1,1,통과만,-500 W,,저장,Molecular Nutrient Resequencing,"Steel 5, ComponentSpacer 2, Plasteel 2",20,6000,5,Light,예,분자 재구성으로 동물용 사료를 합성합니다. 레플리매트 원료 탱크 및 레플리매트 컴퓨터에 전력선으로 연결해야 합니다.,,,
레플리매트 벽면 단말기,Replimat Wall Terminal,ReplimatTerminalWall,Replimat,sumghai.replimat,레플리매트,1x1,1,가능,-2000 W,,"작업칸 (0,0,-1)",Molecular Nutrient Resequencing,"Steel 40, ComponentSpacer 5, Plasteel 15",100,12500,4,,예,분자 재구성으로 식사와 음료를 합성합니다. 레플리매트 원료 탱크 및 레플리매트 컴퓨터에 전력선으로 연결해야 합니다.\n\n이 터미널 버전은 기존 벽면에 내장되도록 설계되었습니다.,,,
레플리매트 시체 가공기,Replimat Cadaver Processor,ReplimatCorpseRecycler,Replimat,sumghai.replimat,레플리매트,1x3,3,통과만,-2000 W,,저장,Molecular Nutrient Resequencing,"Steel 100, ComponentIndustrial 10, ComponentSpacer 8, Plasteel 80",150,32000,1,Light,예,시체를 품위있는 방법을 통해 레플리매트 시스템에 공급할 유기 미립자 현탁액으로 재활용합니다.,,,
레플리매트 원료 탱크,Replimat Feedstock Tank,ReplimatFeedTank,Replimat,sumghai.replimat,레플리매트,1x1,1,통과만,-500 W,,,Molecular Nutrient Resequencing,"Steel 25, ComponentIndustrial 5, ComponentSpacer 1, Plasteel 75",200,7500,-3,Light,예,레플리매트 단말기에서 사용하는 유기 미립자 현탁액을 보관합니다. 레플리매트 호퍼로 공급합니다.,,,
레플리매트 컴퓨터,Replimat Computer,ReplimatComputer,Replimat,sumghai.replimat,레플리매트,2x1,2,통과만,-1000 W,,,Molecular Nutrient Resequencing,"Steel 80, ComponentSpacer 12, ComponentIndustrial 8, Plasteel 60, IsolinearModule 1",400,40000,-1,Light,예,모든 레플리매트 단말기에 다양한 식사와 음료 조리법을 제공합니다.,,,
레플리매트 호퍼,Replimat Hopper,ReplimatHopper,Replimat,sumghai.replimat,레플리매트,3x1,3,통과만,-2000 W,,저장,Molecular Nutrient Resequencing,"Steel 80, ComponentIndustrial 10, ComponentSpacer 8, Plasteel 50",100,30000,-2,Light,예,냉동한 재료를 보관하고 분자 수준에서 레플리매트 시스템에 공급할 유기 미립자 현탁액으로 분해합니다.,,,
왕복선 착륙장,shuttle landing pad,Spaceports_ShuttleLandingPad,Rimsential - Spaceports (Continued),zal.spaceports,기타,7x5,35,가능,-100 W,,조명 반경 5 / 연결 가능 설비 1종,microelectronics,"Steel 100, ComponentIndustrial 5",500,1000,,Medium,,"왕복선의 착륙을 위한 자동화 착륙장입니다. 착륙장의 사용 가능 여부와 상태를 통합 심우주 신호기를 통해 태양계 너머로 알리며, 행성과 행성 너머의 방문객들을 불러 모읍니다.",,,
우주 공항 방문객 장소,spaceport visitor spot,Spaceports_VisitorSpot,Rimsential - Spaceports (Continued),zal.spaceports,기타,1x1,1,가능,,,,microelectronics,,,0,,Light,,"우주 공항 방문객이 머물도록 설정된 장소입니다.\n\n우주 공항에 도착한 방문객들은 자신들이 타고 온 왕복선이 주기된 착륙장 혹은 착륙 지점에서 가장 가까이에 존재하는 유효한 장소를 선택합니다. 유호한 장소가 없을 시, 자신들이 타고 온 왕복선 주변에 머물게 됩니다. 같은 장소에 다른 방문객 집단들이 동시에 머물 수 있습니다.",,,
우주 공항 신호기,spaceport beacon,Spaceports_Beacon,Rimsential - Spaceports (Continued),zal.spaceports,기타,3x3,9,가능,-300 W,,,microelectronics,"Steel 200, ComponentIndustrial 5",500,2000,,Medium,,우주 공항의 존재와 사용 가능 여부를 알리는 심우주 신호기와 초수평선 레이더가 설치된 복합설비입니다.,,,
합성 연료 단말기,fusion fuel terminal,Spaceports_FuelDispenser,Rimsential - Spaceports (Continued),zal.spaceports,기타,1x1,1,불가,-50 W,,"조명 반경 1 / 연결 설비 / 작업칸 (0,0,-1)",fabrication,"Plasteel 25, ComponentIndustrial 3",500,250,,Medium,,"소형 왕복선을 위한 합성 연료 구매에 사용되는 단말기입니다. 작동하기 위해서는 착륙장 근처에 설치해야 합니다. 구매가 확인되면, 착륙장 내부의 펌프가 같은 네트워크에 있는 연료 탱크의 연료를 왕복선에 주입합니다.",,,
합성 연료 처리기,fusion fuel processor,Spaceports_FuelProcessor,Rimsential - Spaceports (Continued),zal.spaceports,기타,3x3,9,불가,-1000 W,,연결 가능 설비 1종 / 연료 Chemfuel 150 / 조명 반경 3,fabrication,"Plasteel 150, ComponentSpacer 5",500,2000,,,,"얕은 물에서 작동하는 우주 시대 기술의 연료 처리기입니다. 작동 시, 공급된 화학연료의 휘발성 물질이 대형 반응 탱크에서 흡수한 물과 융합되고, 가압되어 복잡한 연쇄 화학 반응을 일으켜 일반적인 액체 융합 연료로 분리됩니다.",,,
합성 연료 탱크,fusion fuel tank,Spaceports_FuelTank,Rimsential - Spaceports (Continued),zal.spaceports,기타,1x2,2,불가,-100 W,,연결 설비 거리 20 / 조명 반경 2,fabrication,"Plasteel 75, ComponentSpacer 2",500,500,,Light,,"액체 상태의 합성 연료를 저장하는 탱크입니다. 통합 냉각 시스템은 항상 작동되어야하며, 그렇지 않을시 내부의 연료가 증발해 버립니다.",,,
